,gender,age,cust_id,became_member_on,income,days_as_member
3424,M,59,92db868bb4604c1db799a0e2440656a0,2017-12-30,102000.0,1062
3425,M,61,8a7902df445a4c12933923a02d467928,2016-01-28,53000.0,1764
3426,M,33,64c9cc76688e4ce29b482e211165b5e6,2017-09-23,64000.0,1160
3427,M,66,c5949a72f28a46b7a01ad99e98c20088,2018-04-16,35000.0,955
3428,F,83,635457c253cf48a1884618e4d7658c9a,2018-03-21,104000.0,981
3429,M,54,6effdc34e55b400b8866ba32067bdf9d,2017-02-01,109000.0,1394
3432,F,62,fccefea120ab405585b91f4b9b0bc803,2018-07-04,96000.0,876
3434,F,65,0a43626c07724771836f653098a19ec8,2017-08-10,112000.0,1204
3435,M,75,9a6e41f3f689410bab74f638363ef95a,2018-01-19,79000.0,1042
3436,F,44,d7dd26d7142d4e51b63770cf9db2f91f,2015-07-29,84000.0,1947
3437,M,74,4fbb451301b54298a24590359c56c93b,2017-12-02,67000.0,1090
3438,F,60,0daad40a375348329d90f625a13a1e3f,2017-12-03,86000.0,1089
3439,M,26,c9962ad43568416283211a61ac138f53,2015-05-19,73000.0,2018
3440,F,57,38e48296b33941d29f28ece6a2868fa9,2017-08-26,66000.0,1188
3441,F,91,db59f620cdcc4f2aa1deff1bc0570432,2018-02-06,89000.0,1024
3443,F,62,eb58d9e5f66e432884a576c89e194337,2016-10-07,46000.0,1511
3444,M,79,14cc83b46cfa444daf2782492648db5a,2015-10-31,47000.0,1853
3445,M,33,d7943f97153945148439c7603899fbd4,2017-10-25,51000.0,1128
3447,F,23,8bdaca43bc4b4446ad8e86a82489fd23,2018-03-24,65000.0,978
3448,M,42,c6f2c33d6e16447daa1ed0f5ac2e598c,2018-02-15,56000.0,1015
3449,M,68,a157744e117f436fab46aad897ae1f87,2017-09-03,68000.0,1180
3450,F,52,c708650a65a345b8bacab8db622458d8,2016-08-28,68000.0,1551
3451,F,48,6d4e6ed6cbab412ab8b50074ffdddcd6,2017-09-16,72000.0,1167
3452,M,37,150164d1030149b58fe5f3278141ad18,2017-01-24,74000.0,1402
3453,F,73,ab10cdddba53486598f20b32f70acbc6,2017-09-10,39000.0,1173
3454,M,35,7cd93021f0324c289aeb1521a9425fbf,2017-06-08,35000.0,1267
3455,M,55,6a79b214080d4afbaa10e9d0fc5a5e90,2015-08-20,87000.0,1925
3456,F,51,e633a9090fc746a38826ebdf778e5b20,2018-02-23,73000.0,1007
3457,F,53,d7304a86b04e4cb4919f073ee4db8350,2018-01-25,55000.0,1036
3459,M,59,92e41e23303b4110b2409a1f233cffe2,2017-10-07,48000.0,1146
3460,F,56,855ab85b5bac4be0a9c9aff8cf9d83e2,2017-09-24,110000.0,1159
3461,M,54,98bc341c0a12404bb55dcd592cc84bd0,2018-06-19,67000.0,891
3462,M,47,c02c98b9c5e94a5ca3c63c415ea0ad35,2018-02-13,54000.0,1017
3464,M,63,4e916af218a84f8383172af0979d201f,2018-07-18,32000.0,862
3465,F,64,72c8c0516a79419cac2c8f7f8fbaa14c,2016-09-05,73000.0,1543
3466,F,21,92295cd152354d4bb9389da6a175c118,2015-08-09,39000.0,1936
3467,F,52,11eb0a3d24ed4032b2cc358b4508c85d,2016-12-23,112000.0,1434
3468,F,70,21d6159dc3e749c698da8a6affb68412,2015-11-27,80000.0,1826
3469,M,24,5fce0de14c7646639694ff7abc71a39d,2018-07-20,50000.0,860
3470,M,45,26829118683847c8ae5374b27a1e774d,2016-01-17,36000.0,1775
3471,M,18,2eb115563ebe4784986c3af78a41ea79,2013-09-20,60000.0,2624
3472,M,52,9680c2c9be554bb6bbafe9dbc06b1be4,2017-10-02,32000.0,1151
3473,M,39,e91dce4a4d0b454e80f5c90dc0eb55ee,2017-12-13,51000.0,1079
3474,M,47,31527ffd95be47e490798c647b663cc0,2017-10-13,59000.0,1140
3475,M,32,cee27a03210442beb675e76a01c935c4,2016-01-16,49000.0,1776
3476,F,46,2bbc0f9fcc974e6c98b0ea5081f5cc74,2017-12-15,41000.0,1077
3477,F,64,4e0d84ccaeb2468d93417121730145ef,2018-02-28,30000.0,1002
3478,M,38,972f123ca0404df6bc8eeb937c044778,2018-07-17,43000.0,863
3479,M,51,4625e6efd16e4dc5948837def0090cdb,2017-04-22,71000.0,1314
3480,M,65,2ba2a88be5b349769ce3d3d411064075,2015-12-30,50000.0,1793
3481,F,78,d08b25d10f0246adb4b6459db2e63722,2016-08-06,85000.0,1573
3482,F,40,b506d32d1a384b799b58fa90a5ae5a5a,2017-08-18,56000.0,1196
3484,F,54,4cd5bafcaf6b4f42a1fd16d19d14b6c4,2018-04-25,65000.0,946
3485,M,60,dd77d1d722f24dd0b8b1a84f08aefe92,2014-05-08,31000.0,2394
3486,M,85,070a3bb5f2874b9da388626c84b4b64a,2017-06-15,47000.0,1260
3487,M,56,2b7c18169e88411596f4231ccda5d15b,2018-03-10,37000.0,992
3488,M,47,ac89ec1b0527491e81567de2c0bdb296,2017-10-14,58000.0,1139
3489,M,42,650d5ff0145c46fe992689c137c79b02,2017-12-07,70000.0,1085
3490,M,63,cb3cb7e6cdd544a4967aed3b6548b61d,2018-03-13,66000.0,989
3492,M,22,9b4b02ab6a744385ae6007e4c95099cc,2015-12-29,38000.0,1794
3493,M,19,097e0be7292b4349a952e59ee82bab73,2017-12-22,32000.0,1070
3495,M,61,95bfff94b9b44ba98bb6b69bc3efc3c7,2017-10-19,98000.0,1134
3496,F,59,2fa49d8723524e559323c9b9508dd5f8,2017-09-10,60000.0,1173
3497,M,47,996fb8e62375461f8f6ca0cf7d2eeaa3,2018-06-07,39000.0,903
3499,F,51,4766970299d3411f8ff1296ee5fbcc58,2018-06-11,77000.0,899
3500,F,69,476546d2bdc34a8fbb07bb916f1505aa,2017-07-22,33000.0,1223
3501,M,26,3d4ceca8f12848a28c346e9067470b05,2015-09-25,47000.0,1889
3503,M,18,f18791f54d0d41ba8350df76d675f359,2018-05-05,37000.0,936
3504,M,20,63f8b1b31337467389f1bb10eb8ee300,2017-12-15,31000.0,1077
3505,M,43,6731c03f14924f00b9c7507d9490657c,2017-03-05,59000.0,1362
3506,M,23,9b7cf5a50ea1407c84b87fdea5459b87,2018-01-17,35000.0,1044
3507,F,57,d0532474533d4dcaa552813f36898506,2016-03-07,34000.0,1725
3508,F,78,27793a3c6dfe47cda8ee29432c6f6603,2018-07-22,66000.0,858
3509,M,97,235a873ed1d14c9c9d2ecb28aa27b0cf,2017-08-21,31000.0,1193
3511,M,36,8cad8005c2794346a3b332db58a211e4,2018-07-18,74000.0,862
3512,M,85,b32a4093064447839c51424b327635e2,2015-10-10,50000.0,1874
3513,F,69,e81e716dfede432dbfdb7f071cb47afa,2016-07-26,55000.0,1584
3514,M,66,6e24cb5465134c8a8f46d9f6fa1bc1fe,2017-11-10,40000.0,1112
3515,M,39,62b40d5ce00d410eac78e25c8e5a4eaf,2016-01-25,31000.0,1767
3517,F,58,ff23416f1f724ece8b81bae7acb279ed,2017-12-06,75000.0,1086
3518,M,45,3c00f55fff34497a8c2bdf00106b3c3d,2017-02-11,67000.0,1384
3519,M,54,7df6c8ca03074f69aed1e52ed9b89fe4,2017-12-22,64000.0,1070
3520,F,59,eaeeba89e53945e5ae24fae573c11f02,2018-05-17,53000.0,924
3522,M,24,768bd25218294a0f940bc535c9e3c022,2018-01-21,55000.0,1040
3523,M,61,03922ce960124f4a8c4acd2a332ef296,2018-02-15,62000.0,1015
3524,M,74,5c76370980e54446ada45f7891cfacb3,2018-01-30,54000.0,1031
3526,M,29,c7f2086077db4e609473990c299df5ee,2016-05-08,71000.0,1663
3527,F,61,29659fd0eabe4103a54d273118f1aa35,2017-04-15,97000.0,1321
3528,F,73,a521e0047e994449acef4703628cff7c,2018-03-17,37000.0,985
3530,F,52,03b0358ba8d945b3ac283f25969a0cca,2017-12-24,51000.0,1068
3531,F,73,f4e0715b897c480e9cb7b72cec1a8607,2018-06-26,84000.0,884
3532,F,54,893b57dbbabb48e38e1746b3710cdcff,2017-06-07,75000.0,1268
3533,F,81,286247110a534b28a223ce97782e84e4,2017-09-28,57000.0,1155
3534,F,64,1647711182da47e3a819a5cf5f1307f0,2018-01-06,72000.0,1055
3535,M,65,331bb33911fb4351a37f10624a9f8c47,2015-09-21,78000.0,1893
3536,M,65,fd56cfb700b34169bbd970b559abb07b,2018-05-22,74000.0,919
3537,M,29,883df6ab4b364bbd85c2373430e12c7e,2014-06-20,65000.0,2351
3538,M,33,f1a97a4aabba4015b4c0dd0110306083,2017-08-21,44000.0,1193
3539,M,74,84dbb83b9c0d4e1f9e94e2a6ed901814,2018-07-03,61000.0,877
3540,M,64,5e500209728e453db41f0928a75adf00,2017-10-28,44000.0,1125
3541,M,50,c8586ab235a84a34b51ae3cc47920cab,2017-08-31,89000.0,1183
3543,F,44,f7a950969071422ea162a283edb0f18d,2016-03-12,72000.0,1720
3544,F,63,e484a609dc02475bafa62e092505916f,2014-10-07,54000.0,2242
3545,F,77,8bad0c89bddb49c4acf5c73c93657731,2018-01-10,46000.0,1051
3546,M,64,988bb20673b4417d9426fd9b70ec6ac3,2018-04-03,48000.0,968
3547,F,72,51031b000489411c834ff3c2b088faf0,2015-12-12,85000.0,1811
3548,M,56,3933f5b9dd7f410297f139668858ace2,2017-09-03,64000.0,1180
3549,M,73,d310ea670c7149a1b404854602b30a49,2017-06-09,67000.0,1266
3550,M,52,2c2af24d040a41b6829e4239c812dbac,2018-06-23,47000.0,887
3551,M,43,f0fad43df34646d6b355ec4a25f77d49,2018-05-13,45000.0,928
3552,M,49,7ba2327c339f4081b2a94293df048b4d,2016-11-06,66000.0,1481
3553,M,87,d00fc7daeb9949e992491e6afca4fbf8,2016-11-30,65000.0,1457
3554,F,40,e4c05dd9bcbb4945af5727d4d61b8fba,2018-06-20,38000.0,890
3555,F,63,513e6bbe878c4b199c1d813fd54461a4,2014-07-01,55000.0,2340
3556,F,86,e6d73832444a429aaa969b706a5a2bf1,2016-03-25,75000.0,1707
3557,M,51,9e894ff66aba45bbbe75575a03aeb00e,2017-03-13,104000.0,1354
3559,F,53,d438a838e9f74fa99c3a53f53d73afd4,2016-11-16,106000.0,1471
3560,M,62,a54258212fec4086bacd899d252b1088,2017-11-10,68000.0,1112
3561,M,56,caad2d7ff50c4ccebbfe61ccb6ef9998,2016-01-09,72000.0,1783
3563,F,53,b5105f071088481c8382eb9f73cd6a27,2017-12-11,48000.0,1081
3565,F,61,e8630f5d3bf34260be5241a633f0fa42,2017-11-09,65000.0,1113
3566,F,59,48c41e01e161412a873fd288621850c1,2015-10-24,77000.0,1860
3569,M,58,ea8ae9ebc89b41ffb097dabbf8fe3c24,2017-08-15,119000.0,1199
3570,M,80,d628a8d8255b4c1183fcf5a52381576a,2015-10-06,58000.0,1878
3571,M,59,fc546aaa32694c5cadfc43b97b563434,2018-06-10,87000.0,900
3572,M,24,146533f0231848a7a8046f858681353d,2018-03-11,42000.0,991
3573,M,88,40cbde3c5aed4be6840e68dcf3168def,2016-04-15,62000.0,1686
3574,M,73,fcbcb57364614efc94f1f0410300cb1f,2017-11-29,54000.0,1093
3575,M,61,c3d7056b8e6c46d78d6baf651c3f9ca0,2018-01-18,33000.0,1043
3577,M,56,641fd68d04af4384bdf2ed46453a94ea,2017-07-27,50000.0,1218
3578,F,71,4f5ed6eff38644a58be2e1083cd967d7,2018-01-09,87000.0,1052
3580,F,48,1df88b34a02446e8accf51cb8e712a6a,2017-08-17,71000.0,1197
3582,F,78,b519d8d3bc1c429b80147a10d8767e4c,2013-08-05,81000.0,2670
3583,F,53,01ac633821f0498893320b41b5b22dfc,2015-10-30,88000.0,1854
3584,F,49,08fd4c97526a46b58919a0d48ec65434,2017-07-08,71000.0,1237
3585,M,72,c1c19469f3ad45c7abf9c1da01ee0b7a,2018-05-08,92000.0,933
3586,F,75,e8c5e066d12c460cb97202c4039e7560,2017-12-06,115000.0,1086
3587,M,25,3ff6de008af14b92ae5ce70dc89fb2b4,2017-01-21,61000.0,1405
3588,F,47,06e2f7db27064b629f73908f6b187561,2018-07-17,50000.0,863
3589,F,45,40442f4692e4493d93ca58a439ff6b50,2016-03-01,74000.0,1731
3590,F,59,bda16115506044a08dc1294153a51efb,2018-01-08,68000.0,1053
3591,F,92,f94d9d9d979649799c38a27971dc9ca5,2017-12-07,37000.0,1085
3592,M,50,d32dc2cb18fa40eabb6c5f82339becb8,2018-01-18,38000.0,1043
3593,F,73,a61e96edb3924b8d92f3f0ca49bf2f06,2017-08-19,53000.0,1195
3595,F,58,db7f39b7c3174c71b45dd73f35b2be72,2015-09-15,88000.0,1899
3596,M,22,e20fad3940354753a736242503842029,2017-12-13,57000.0,1079
3597,M,67,5b517f08e89c4e2d8d2c379f0eb311c4,2018-01-30,45000.0,1031
3598,M,30,74fcd98b46fc47cba9423e23ce0b294f,2016-04-18,48000.0,1683
3599,M,45,5eade4be36b747868769ca1899919f8f,2016-09-08,46000.0,1540
3600,F,58,919f3f6565a544d8a06eaef8e6a86d9d,2017-02-02,73000.0,1393
3601,F,62,daad5121c67e4cc0a7f8718fe7be8d9d,2017-09-30,52000.0,1153
3602,F,91,4fbd9e7d7f824ddeb7e61f3d13c7937e,2015-11-19,71000.0,1834
3603,M,70,9135dfc3b2284f68826e31dc2c9f8e8d,2017-12-25,68000.0,1067
3605,M,39,ae0a070c9d07424d8b955efe7caaca6e,2013-08-27,50000.0,2648
3606,M,58,e63bbd64cf5e43baa4dd9ef77c99f050,2014-04-18,39000.0,2414
3607,F,49,d07b84af723a4d6390620668d1d7c076,2017-03-26,87000.0,1341
3608,F,89,74b8a279433a4750b8568ae7478ac2fe,2017-09-22,81000.0,1161
3609,M,44,71616972113d4b2e98603941709cadd1,2015-02-25,68000.0,2101
3610,F,55,6f6f3af3a32d49aa9f1303c2c11333e7,2017-02-14,44000.0,1381
3611,M,56,055fe39c422643d89a93cf05cf610b2e,2015-09-20,38000.0,1894
3612,M,65,ca0bddc5e7e34a628ffc6179570d834b,2017-12-22,76000.0,1070
3613,M,90,1c8b3756397541c7b4dade350741a9ed,2018-04-09,38000.0,962
3614,M,62,de461a0b514e4f4a83131b4a58dc49ec,2015-09-17,52000.0,1897
3615,F,63,c297c0a707724e868c3212f721a20457,2017-08-08,68000.0,1206
3616,F,36,d7fec020017649a7a13a924c04e8c07b,2018-01-03,40000.0,1058
3617,F,62,9f124ca4f32f4f389c3c429f4dca986d,2017-12-22,94000.0,1070
3618,M,19,2029ecce8bc14065a7c757cbee6f58b3,2016-12-04,43000.0,1453
3620,M,76,7b74e68b25754abb968231adc71c7e3a,2018-03-08,118000.0,994
3621,M,43,f4208fedbb644de4bfb0990efb0025e0,2017-09-24,51000.0,1159
3622,M,24,a464b4c6b4e84d499a7e3af6f3460694,2016-03-25,50000.0,1707
3623,F,83,d62121909df44994878f47ce3e73bca4,2017-03-25,58000.0,1342
3624,M,67,7ec8a869c7714a429adeede431a04881,2017-08-12,34000.0,1202
3625,F,35,a9ef494d007245e9b94c2ff661859c51,2015-10-18,45000.0,1866
3626,M,65,46eb2598375a4042bf31580470ea36f9,2014-05-21,61000.0,2381
3627,F,58,51f2b803865e48808101dedd24683381,2017-09-06,109000.0,1177
3628,M,43,9813870bca3940ddbcb7bb452f3cb4b2,2016-12-25,72000.0,1432
3629,F,71,41e4610d1aa74853b2d590e321699b1c,2016-05-17,89000.0,1654
3630,F,69,a53045051eca43ee9041d2e57b752cf7,2016-05-22,85000.0,1649
3631,M,67,314d862acaa645b7ac4ab4cb9c966854,2016-07-20,38000.0,1590
3632,F,48,2c2d6fcf6ba84ae78cd3b145107a486f,2017-05-13,94000.0,1293
3633,M,43,28b3a891cbfa45b1b4f242a8ae561cca,2017-08-30,34000.0,1184
3634,M,23,dde7b6ddb8f448a4a49f309939de59f2,2018-04-28,42000.0,943
3635,F,75,ba4fff69b9224b87a1916f9fd9d0c2c8,2017-05-14,109000.0,1292
3636,F,32,236a66dab68243f5bfde1277386b4e6c,2016-01-10,64000.0,1782
3637,M,58,03adb16f61e44e6594d6d8e38d0a3e64,2017-04-30,79000.0,1306
3638,F,62,9ebe696078b742b389f486bd3a98ca56,2014-01-14,40000.0,2508
3639,M,41,17d196b8409e49269702efcca3a90153,2017-07-31,42000.0,1214
3640,M,42,7d30ff83c4c141d79231d53be5101d9d,2016-09-05,68000.0,1543
3641,M,27,894669a32ec14a2fac839e636f807768,2016-05-31,32000.0,1640
3642,M,63,339ce280165b40cb856d943db119499a,2018-06-30,84000.0,880
3643,M,43,7b6f942b3a5c48ebab92b47f4608e171,2017-10-02,34000.0,1151
3644,M,21,d12f8c848c854a9ebf3443457e172e01,2013-11-06,47000.0,2577
3647,M,70,960caadee75247a3be0ca3245c7d6f2f,2017-10-14,79000.0,1139
3648,F,67,42f8d287efa7489c9c13f94b2cec5fc5,2015-11-27,65000.0,1826
3649,M,71,f8c07073fb89432d996725a3225e5e38,2018-05-30,69000.0,911
3650,M,30,55d3ed806a6e4adaaec2df934fc9d8eb,2018-02-23,60000.0,1007
3653,M,36,f3fbb30bac49414cb6a515e563ee0f99,2014-01-15,64000.0,2507
3654,M,72,4de995d854f94b3492f743cc1e98ec29,2017-08-27,48000.0,1187
3655,M,58,6e0b0d6db74942b49007e6ff4699f32c,2013-08-13,54000.0,2662
3656,M,22,2c4a39db7685477a8a8c142706b2e8ff,2018-01-30,72000.0,1031
3657,M,45,2bb93a2ba2444644bfb33cd38beac0d9,2014-04-27,86000.0,2405
3658,F,39,74bf65900a924dcdbd6cbaba921fcd80,2017-05-05,52000.0,1301
3659,M,66,4520caf5f7ac4436b2b536e1315bd6df,2017-08-06,88000.0,1208
3660,M,45,6e7d42fc10ee466c80a4056b3ec0b072,2018-07-16,62000.0,864
3661,F,41,2ac533ce2ba246c9b3ad32aeb2579a8e,2017-08-22,56000.0,1192
3662,F,20,c89fa9af11d74b4d8cee355d0871bd97,2016-01-11,54000.0,1781
3663,M,56,b6d94c567b25454a9262c4f5c3ac996c,2016-01-21,56000.0,1771
3664,F,73,9fa8ee92f21e425ca26519b84d513c70,2018-07-24,113000.0,856
3665,F,65,1063ada827b040238f9d076ba71e6522,2017-12-25,48000.0,1067
3667,F,88,5991a7c29e594df2aa22b14628e2c094,2017-09-13,69000.0,1170
3668,M,64,7ffbb6f34b834970966214e754b5a35a,2015-07-22,67000.0,1954
3670,F,53,430e42dcf5fd434c8de633467765b0eb,2017-02-22,65000.0,1373
3671,M,82,f5ae5f22cbbd45edb721587c2f845a00,2018-05-25,44000.0,916
3672,F,34,b56a93598fa5432b9d258e1a831888cd,2017-11-03,33000.0,1119
3673,F,83,4758968e20074f35b26f96694867bef0,2016-01-30,107000.0,1762
3674,F,43,e2fd3352911844f0b3bc2965978c2798,2017-07-05,66000.0,1240
3675,M,82,57c96b5ca2da4b868f89c70ab07aef81,2017-10-23,63000.0,1130
3677,M,56,398ceac221bb474daba2d1b05780130f,2016-11-24,55000.0,1463
3678,F,59,f9ee0b3499324d7c995278b18abb33ad,2017-08-21,95000.0,1193
3679,M,55,45231f3dbbb346f6902b268a4169eaa3,2018-03-29,62000.0,973
3680,F,65,44eae499188b4c5c849741ac698aed4b,2016-12-16,97000.0,1441
3681,F,68,dee41cfae12043039ee3ed880778e7dc,2018-03-08,68000.0,994
3682,M,47,b567154700ce468ea2cf636912fa2b08,2013-11-09,40000.0,2574
3683,F,36,cc8ddacae6e84c6e81f19c2b70306b6f,2017-10-09,35000.0,1144
3684,F,40,3282a2d093e040ac9250233349c9888c,2017-06-15,71000.0,1260
3685,F,54,0eb51351d07c4bdba4ed8db8b3fb2392,2017-08-09,55000.0,1205
3686,M,71,03566626393f43a88c55de21c61761d0,2018-03-02,59000.0,1000
3688,M,37,a8fbe596fea447c0a7fb9ac85bb01b0f,2015-08-06,67000.0,1939
3690,M,54,893131691a9a492585d9ea3afbdb37a0,2016-10-23,58000.0,1495
3691,M,49,56a30c95a6cf4950b5dcade44b0b5dac,2018-05-04,72000.0,937
3692,M,72,6c3eb0c4198c49aaa109a3bc4bb0acbe,2015-06-22,62000.0,1984
3693,M,35,4d6950947fb448e3891542dc26a2c389,2016-03-16,35000.0,1716
3694,M,58,0bbcf0985bd04fc4bbf77b4500ada512,2016-10-10,61000.0,1508
3695,M,73,c841f47c42044aaa994d4889a3451044,2017-09-01,71000.0,1182
3696,F,55,303b2c1b751640c78419cd8288944419,2016-06-13,119000.0,1627
3698,M,42,3403ae9e2e7943a6a4cf242471c66e6f,2017-10-12,86000.0,1141
3699,M,57,8cdcacba1ef44cae85558dd47fa23072,2018-02-16,83000.0,1014
3700,M,19,76c72a341fa54a778501002270f37cef,2017-12-28,53000.0,1064
3701,F,58,58181a9005da442bb9372127e3d1d584,2016-11-03,46000.0,1484
3702,F,63,fd45aee3900f4b3c88a35b53d0bf630b,2018-03-28,65000.0,974
3703,F,66,18929cd7445c4604bb987f4b0cbb036c,2016-07-18,87000.0,1592
3704,F,60,8db3081752cc455282c831cc236dec91,2017-10-10,65000.0,1143
3705,M,51,682db591325946118a74447bdb891603,2017-01-31,75000.0,1395
3706,M,46,ff7cc9b97c7744cfbc31bb020ea8d07e,2013-09-18,46000.0,2626
3707,M,81,7a9ad3ee82b54845b6cefd3de13e6ac6,2018-03-11,76000.0,991
3708,F,37,ff3bc5e639a145fab9b8fe1df14349a6,2016-04-03,58000.0,1698
3710,M,21,cac0f39ebe284c40819c37d540a0767f,2018-03-03,58000.0,999
3711,F,77,1eae2b68358845a497404afcea2f0aa0,2017-05-24,62000.0,1282
3712,F,18,e0749ba1296b41e9adbdc27c979b2510,2014-11-27,40000.0,2191
3713,F,70,7642279c17b84e97821a33d8321c41ab,2018-05-05,71000.0,936
3715,M,57,9daa8e32286143da85f85846cb35a259,2017-10-17,95000.0,1136
3716,F,62,1922e62c02ec4664979eaeb8653d6fc5,2017-11-09,58000.0,1113
3717,M,21,f3eadb24229f420cbf068fdf0fe05eca,2018-01-04,71000.0,1057
3718,F,69,ca54001246b74452b232996eea678854,2016-04-07,53000.0,1694
3720,M,62,8140d90b53c54b0687ddd58ee64bd9d6,2016-07-30,64000.0,1580
3721,M,48,74763e4ccbf549c6bc1205f4378f5747,2015-05-17,71000.0,2020
3722,M,21,2fd55b2564c54db191185409836f81e5,2017-12-07,60000.0,1085
3723,M,75,0cade469f8204713a1ea0ad29d578c0d,2017-07-13,94000.0,1232
3724,F,82,ed7e6c25c7db4d7c94b552738996f6ef,2018-02-28,73000.0,1002
3725,M,56,38fe17dd8f41408385bd67c0d06df2d1,2017-11-11,30000.0,1111
3726,M,45,4f6c19059908429eb5335d9790f26d9a,2017-11-24,60000.0,1098
3729,F,28,8184c15e16704a54a32705a4f10caec6,2017-12-17,32000.0,1075
3730,F,56,afc2ba5bfc134860bb972db2a7919901,2017-12-06,60000.0,1086
3731,F,49,d7c52c19f54a4f96994d06eaa22e111e,2018-03-19,51000.0,983
3734,M,61,99950b4620c247f3b138576e96e82c9d,2017-08-22,99000.0,1192
3735,F,35,87deb7387c0f4ef7bbf8239665a23e1b,2015-10-29,33000.0,1855
3736,M,35,e981bddbd79142f89deeb625cbe1ce5f,2018-06-24,64000.0,886
3737,M,44,5b0ce237da4f4feaafd1cd7e22167e90,2017-07-11,49000.0,1234
3738,M,30,cd0cb9d1599c47a0bb69c49d19c2117f,2018-06-05,31000.0,905
3739,M,58,93599a777bc34536a4703b63493a0ea6,2018-03-09,33000.0,993
3740,M,35,bd6db3a8f19f4947b9d4846536b74d45,2014-04-04,41000.0,2428
3741,F,58,e32d0d63d30f44db88157af0fffbadcf,2017-01-04,91000.0,1422
3742,F,45,591b17b5a24a44f7a23bd2296e46e0c4,2013-09-09,82000.0,2635
3743,O,62,75878d70993c4963ab658bacae8d2002,2016-08-21,65000.0,1558
3744,M,66,a45f960b9d1e4684881327509ecf2cd9,2016-03-09,52000.0,1723
3745,F,64,2ea7de75534145b0be0f49a30842e6e4,2016-02-09,80000.0,1752
3747,M,27,4a77318aff504e48837d945af45d6727,2018-02-11,32000.0,1019
3748,M,24,aba68a20aa8a42acbe25ebcf0800414b,2015-10-21,51000.0,1863
3749,M,25,9a4ab5027e7a480dbaddecb9c06e8f2d,2017-09-12,44000.0,1171
3750,M,83,8301eb9427774c7a96198934af818093,2018-07-05,62000.0,875
3751,M,49,8ea0513ddaa34071be030721b66d0536,2017-09-14,67000.0,1169
3752,M,70,62d8f760122a4a9caed68677357ead15,2014-09-17,93000.0,2262
3753,F,71,18f6d43ce45c41b398606753c3412f60,2016-04-17,97000.0,1684
3754,M,27,5258f977542b49e5ab596382341b3a29,2017-12-01,37000.0,1091
3755,M,52,af51e40269e14424a5f08ed86a4d6437,2015-02-28,37000.0,2098
3756,F,22,6afc72ae958d4e67af53f81be77bd398,2017-01-22,49000.0,1404
3758,M,48,9515707a7a584c8286cee12cdaf7668e,2017-08-20,32000.0,1194
3759,F,57,286411d1df244cb4a18d1542834e3d8f,2015-10-27,102000.0,1857
3760,M,63,6b715ac1dfaa41b49a463cabb73cbe52,2018-03-15,51000.0,987
3761,M,58,bb93bfae58094546b29f9c08094afd04,2016-04-18,79000.0,1683
3762,M,60,d8caa73d26d34770847f584020421eba,2017-02-27,66000.0,1368
3763,F,85,735f456dacaa4734a3862d099d26c683,2018-04-05,80000.0,966
3765,M,54,70438cb55afa42dbbea1e62163fa3504,2017-10-22,51000.0,1131
3766,F,92,9e9aab288405481cb7cac45dc3c48315,2016-08-16,108000.0,1563
3767,M,19,b94243e4bfb34cf9a4003b4009daed22,2017-09-22,54000.0,1161
3768,F,73,f81cf50a115f4042b0fe3f09265a56d7,2018-02-26,36000.0,1004
3769,M,51,0c9c4852f7a04dc8be4865dac3e75d5d,2018-01-16,44000.0,1045
3770,M,36,b3558a16618341869b830ab77d6443a6,2017-12-14,38000.0,1078
3771,F,92,30f564f21a894030bed7a6e6f1b143e6,2017-10-19,87000.0,1134
3772,F,65,842f6309498349c384c691cea552c52c,2018-01-12,80000.0,1049
3773,M,62,bd91b42ebde945ea81af9a64685b4b79,2017-08-05,40000.0,1209
3774,F,81,0246f8fdf0b64014a98822b70231c58d,2018-04-01,79000.0,970
3775,M,53,2022184e5eb84a7d83a85d4d9fbcad82,2014-03-16,70000.0,2447
3776,F,55,4acef5f30b3c468facf21c59294d4285,2016-02-02,75000.0,1759
3777,M,61,3a4d1e41dbc143119460fd35f25cec31,2018-02-26,35000.0,1004
3779,M,32,9f6907ec4e1846dc9266b0289bbce9fb,2017-11-24,68000.0,1098
3780,M,54,b93783eb826f47ad8c2d30dd8166ee17,2017-06-18,71000.0,1257
3782,M,65,c4cc8a7a10fa402dae9508b47373117d,2014-12-30,50000.0,2158
3784,F,65,fa38365493e34ddead796e2a183bd8b5,2017-03-03,88000.0,1364
3785,F,72,3019637618be4339ab60283b94e9ea46,2018-06-16,93000.0,894
3787,M,48,d77012df51d64d7095dbbb69945e2825,2016-09-09,78000.0,1539
3788,M,58,2d6ed5cd4f2347d1a381e9e938824e29,2017-12-04,54000.0,1088
3789,F,79,ce1579c557c14f7785869dc80638bc0f,2016-05-24,72000.0,1647
3790,F,56,d40b855e10e84a74b6049695ae6d7223,2018-01-02,90000.0,1059
3791,F,44,22212a9457f544d099841ab698d2a5ef,2017-10-27,53000.0,1126
3792,M,55,7dc62a0a1736432f9a2dbafae8a7687c,2017-08-14,57000.0,1200
3793,M,33,0009655768c64bdeb2e877511632db8f,2017-04-21,72000.0,1315
3794,F,24,b62a7b6effca47d29859ba016fd4efa0,2016-01-13,72000.0,1779
3795,F,48,daa9206b6c19450c88b6d947ffde76e7,2017-08-08,75000.0,1206
3797,F,56,7b32d67348b6462fad4f0f59ee3bd8af,2017-06-06,118000.0,1269
