,gender,age,cust_id,became_member_on,income,days_as_member,Total offer completed,Total offer received,Total offer viewed,Total transaction,offer completed_via_email,offer completed_via_social,offer completed_via_mobile,offer completed_via_web,offer completed bogo count,offer completed discount count,offer received_via_email,offer received_via_social,offer received_via_mobile,offer received_via_web,offer received bogo count,offer received discount count,offer received informational count,offer viewed_via_email,offer viewed_via_social,offer viewed_via_mobile,offer viewed_via_web,offer viewed bogo count,offer viewed discount count,offer viewed informational count,Total transaction amount,avg_difficulty,avg_duration,total_reward_received,total_reward_defined,total_view_ratio,total_completion_ratio,avg_transaction_amt,transactions_per_membership_days
4151,M,81,aee02b97af7b47d8a967b2f21b9a2a75,2018-07-15,62000.0,865,1.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,4.0,5.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,30.05,6.1,141.6,3.0,23.0,0.8,0.2,6.01,0.005780346820809248
4152,M,76,0eda310a2b0c4e808af13f68afc81eea,2017-09-21,40000.0,1162,2.0,5.0,3.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,3.0,4.0,4.0,3.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,22.069999999999997,9.1,165.6,8.0,33.0,0.6,0.4,3.68,0.0051635111876075735
4153,M,87,ff35495df493403388a7373862bcf2d5,2013-08-30,38000.0,2645,2.0,4.0,4.0,23.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,113.12,8.0,192.0,4.0,14.0,1.0,0.5,4.92,0.008695652173913044
4154,M,80,8d15aa457a7e44abae865712ac06afbd,2013-08-15,55000.0,2660,2.0,5.0,3.0,13.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,3.0,5.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,0.0,1.0,48.1,5.5,127.2,7.0,17.0,0.6,0.4,3.7,0.004887218045112782
4155,F,28,f3845db4f3ba4afb8e82417d42199f24,2016-06-05,34000.0,1635,3.0,6.0,6.0,22.0,3.0,2.0,3.0,3.0,1.0,2.0,6.0,4.0,6.0,4.0,1.0,2.0,3.0,6.0,4.0,6.0,4.0,1.0,2.0,3.0,185.69,5.4,123.2,15.0,15.0,1.0,0.5,8.44,0.01345565749235474
4156,F,65,26a07f495d214125a9c20158be2afda5,2016-06-15,75000.0,1625,2.0,5.0,5.0,12.0,2.0,2.0,2.0,2.0,2.0,0.0,5.0,5.0,5.0,2.0,2.0,0.0,3.0,5.0,5.0,5.0,2.0,2.0,0.0,3.0,200.80999999999997,3.75,96.0,15.0,15.0,1.0,0.4,16.73,0.0073846153846153844
4157,M,33,531085ca92504ea3a06d84fdbfadc7c7,2017-12-01,50000.0,1091,1.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,12.280000000000001,5.0,160.0,5.0,7.0,0.67,0.333,4.09,0.002749770852428964
4158,M,44,f62c31aa3c65443eac8b18800bfb6a8f,2015-06-14,55000.0,1992,2.0,5.0,3.0,21.0,2.0,0.0,2.0,2.0,1.0,1.0,5.0,2.0,4.0,5.0,3.0,2.0,0.0,3.0,2.0,3.0,3.0,2.0,1.0,0.0,59.20000000000001,8.0,156.0,7.0,22.0,0.6,0.4,2.82,0.010542168674698794
4159,F,67,d4acc625daab41bc9b6f9cfebdb8fcbf,2015-12-01,94000.0,1822,1.0,2.0,2.0,8.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,193.21,7.0,168.0,5.0,15.0,1.0,0.5,24.15,0.0043907793633369925
4160,F,53,01de69b5edab4b89859ea8a7214ba35a,2017-04-23,84000.0,1313,2.0,4.0,3.0,7.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,3.0,4.0,3.0,0.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,2.0,1.0,765.8800000000001,4.666666666666667,138.66666666666666,6.0,6.0,0.75,0.5,109.41,0.005331302361005331
4161,F,83,a52af30da74d48c582ff6735cc3d41c0,2018-01-04,61000.0,1057,4.0,5.0,5.0,12.0,4.0,4.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,3.0,2.0,2.0,1.0,5.0,5.0,5.0,3.0,2.0,2.0,1.0,183.19,7.928571428571429,159.42857142857142,25.0,25.0,1.0,0.8,15.27,0.011352885525070956
4162,F,57,ccbb447a19e04f7fa7a36dae6991b736,2018-05-31,61000.0,910,4.0,5.0,4.0,9.0,4.0,3.0,3.0,3.0,2.0,2.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,159.92000000000002,9.307692307692308,153.23076923076923,28.0,28.0,0.8,0.8,17.77,0.00989010989010989
4163,M,87,7bbd5819b029482b84527d5982ab51ff,2018-01-21,42000.0,1040,0.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,4.0,0.0,4.0,1.0,3.0,2.0,3.0,2.0,0.0,2.0,1.0,7.85,8.75,171.0,0.0,11.0,0.6,0.0,1.31,0.0057692307692307696
4164,F,63,d2565b7e3ab348caa9727445e0892dd5,2017-06-09,76000.0,1266,3.0,6.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,0.0,6.0,4.0,6.0,4.0,3.0,0.0,3.0,4.0,4.0,4.0,2.0,3.0,0.0,1.0,638.27,4.615384615384615,120.0,20.0,20.0,0.67,0.5,127.65,0.0039494470774091624
4165,M,57,bb4e814b1c954a839950d2e842eaf1c0,2018-01-30,52000.0,1031,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,1.0,3.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,13.333333333333334,216.0,0.0,22.0,0.5,0.0,0.0,0.0
4166,M,64,2d0074b84a99445dab755f246f533f59,2015-08-29,95000.0,1916,2.0,4.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,0.0,4.0,1.0,4.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,128.04,5.714285714285714,147.42857142857142,10.0,17.0,0.25,0.5,25.61,0.0026096033402922755
4167,M,53,8b7d6291add449f7812b3435e77bc304,2018-05-17,62000.0,924,2.0,4.0,3.0,13.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,4.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,222.62,5.0,152.0,7.0,7.0,0.75,0.5,17.12,0.01406926406926407
4168,M,45,6f736bd23374450cb7180d5a570b53a4,2016-06-25,58000.0,1615,3.0,4.0,3.0,5.0,3.0,0.0,2.0,3.0,2.0,1.0,4.0,0.0,3.0,4.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,2.0,1.0,0.0,61.67,9.0,182.4,15.0,15.0,0.75,0.75,12.33,0.0030959752321981426
4169,M,41,9ac86455545b4f2f8e0f91fb152d3786,2015-10-15,87000.0,1869,5.0,5.0,5.0,14.0,5.0,3.0,5.0,4.0,3.0,2.0,5.0,3.0,5.0,4.0,3.0,2.0,0.0,5.0,3.0,5.0,4.0,3.0,2.0,0.0,332.39,9.0,172.8,29.0,29.0,1.0,1.0,23.74,0.00749063670411985
4170,F,60,47cdb6b555e44e2a90c6321d35186ac6,2017-02-18,118000.0,1377,3.0,3.0,3.0,9.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,249.16,8.333333333333334,176.0,17.0,17.0,1.0,1.0,27.68,0.006535947712418301
4171,O,56,f9aa97d0dd164f8bae52c0a4f9dd9f6e,2017-04-03,60000.0,1333,3.0,4.0,4.0,12.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,153.59,8.181818181818182,161.45454545454547,22.0,22.0,1.0,0.75,12.8,0.00900225056264066
4172,M,66,be33fc21689342f2b90a00a1892433bf,2018-01-28,79000.0,1033,2.0,5.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,0.0,5.0,3.0,5.0,3.0,4.0,0.0,1.0,4.0,3.0,4.0,2.0,3.0,0.0,1.0,94.19999999999999,6.363636363636363,146.1818181818182,15.0,30.0,0.8,0.4,23.55,0.003872216844143272
4173,F,42,3a429a87c92e430483b85e50c168bc7f,2018-05-16,61000.0,925,0.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,19.700000000000003,5.0,130.28571428571428,0.0,20.0,0.4,0.0,4.93,0.004324324324324324
4174,M,57,fdb6f4a30f844f0196165bf6be7ebebc,2018-04-04,65000.0,967,3.0,3.0,3.0,11.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,0.0,3.0,2.0,3.0,3.0,1.0,2.0,0.0,192.19,8.333333333333334,216.0,9.0,9.0,1.0,1.0,17.47,0.011375387797311272
4175,M,50,962c8ca333d04bb18429276bf88d89dc,2017-08-11,111000.0,1203,3.0,6.0,3.0,5.0,3.0,1.0,2.0,3.0,1.0,2.0,6.0,4.0,5.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,142.98000000000002,8.416666666666666,156.0,13.0,33.0,0.5,0.5,28.6,0.004156275976724855
4176,F,83,bb3983180f0f4b019976c13d5106ce11,2017-01-15,64000.0,1411,1.0,4.0,4.0,15.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,4.0,1.0,1.0,0.0,3.0,4.0,3.0,4.0,1.0,1.0,0.0,3.0,254.89000000000001,3.3333333333333335,109.33333333333333,10.0,10.0,1.0,0.25,16.99,0.010630758327427357
4177,F,64,8a53db56e2a84dd1b0b3b64743f4a1c9,2018-07-02,70000.0,878,1.0,5.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,3.0,5.0,3.0,3.0,2.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0,23.67,10.0,157.33333333333334,2.0,34.0,0.6,0.2,11.84,0.002277904328018223
4178,M,86,c4e20bb4ed2042f68d2d58a865e5f403,2017-08-22,62000.0,1192,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,5.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,9.39,6.75,156.0,0.0,15.0,0.6,0.0,3.13,0.0025167785234899327
4179,F,43,31a99f67ed9f4b859c4279e55e11d3fb,2018-01-26,39000.0,1035,0.0,5.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,4.0,0.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,13.91,5.285714285714286,150.85714285714286,0.0,7.0,0.4,0.0,1.74,0.007729468599033816
4180,M,81,5e06d34a6048486f8f72e8dd1bcca9e6,2016-12-23,85000.0,1434,3.0,4.0,4.0,6.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,122.70999999999998,6.818181818181818,176.72727272727272,9.0,9.0,1.0,0.75,20.45,0.0041841004184100415
4181,M,52,18eddb1a60504a63ba4d200fab4cb36b,2018-03-12,99000.0,990,3.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,4.0,2.0,4.0,4.0,1.0,3.0,0.0,3.0,2.0,3.0,3.0,0.0,3.0,0.0,102.79,8.1,182.4,10.0,12.0,0.75,0.75,34.26,0.0030303030303030303
4182,F,44,01d7da27b8934ba1b3602a0153e4415f,2018-03-12,76000.0,990,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,0.0,5.555555555555555,149.33333333333334,0.0,12.0,0.8,0.0,0.0,0.0
4183,F,30,e3d829a16f394380a76ef00cbf99cead,2018-03-26,69000.0,976,2.0,6.0,3.0,9.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,4.0,5.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,1.0,172.49999999999997,7.2727272727272725,128.72727272727272,20.0,25.0,0.5,0.333,19.17,0.009221311475409836
4184,M,50,f175e633f1324c838ba3d719e27bcad2,2018-06-26,56000.0,884,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,0.0,1.0,8.399999999999999,5.714285714285714,140.57142857142858,0.0,17.0,0.75,0.0,2.1,0.004524886877828055
4185,F,55,a8fcb6ae658246708387f979c4949017,2016-09-19,91000.0,1529,2.0,5.0,5.0,15.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,3.0,5.0,3.0,1.0,1.0,3.0,5.0,3.0,5.0,3.0,1.0,1.0,3.0,394.69999999999993,3.75,142.0,7.0,7.0,1.0,0.4,26.31,0.009810333551340745
4186,M,41,b7509d7b888e4ab197ea253b57f7988c,2014-11-16,55000.0,2202,5.0,6.0,5.0,10.0,5.0,3.0,4.0,4.0,1.0,4.0,6.0,4.0,5.0,4.0,2.0,4.0,0.0,5.0,3.0,4.0,4.0,1.0,4.0,0.0,151.67,11.3125,195.0,22.0,32.0,0.83,0.833,15.17,0.004541326067211626
4187,F,34,0a0e0f2c65304dd2ae36d854baac2cbe,2017-10-16,63000.0,1137,4.0,6.0,5.0,14.0,4.0,3.0,4.0,3.0,2.0,2.0,6.0,4.0,6.0,4.0,2.0,2.0,2.0,5.0,4.0,5.0,3.0,2.0,2.0,1.0,207.99,7.4,140.8,25.0,25.0,0.83,0.667,14.86,0.012313104661389622
4188,F,53,e436947f277b4878b1f2da6227c8a5f1,2015-04-17,90000.0,2050,3.0,3.0,3.0,7.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,191.09,8.333333333333334,176.0,17.0,17.0,1.0,1.0,27.3,0.0034146341463414634
4189,F,65,ca9a8170963846329c22dacc7ff86a99,2018-07-20,93000.0,860,2.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,96.56,6.666666666666667,162.66666666666666,12.0,12.0,0.75,0.5,24.14,0.004651162790697674
4190,F,74,01a202a9021e40aeaa5451a5d134c16c,2016-11-11,91000.0,1476,2.0,4.0,2.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,156.05,5.0,150.0,7.0,7.0,0.5,0.5,26.01,0.0040650406504065045
4191,M,66,7c8feb28723b4ef4922459f35a490a27,2017-02-18,72000.0,1377,4.0,5.0,4.0,10.0,4.0,3.0,4.0,2.0,3.0,1.0,5.0,3.0,5.0,3.0,3.0,1.0,1.0,4.0,3.0,4.0,2.0,3.0,1.0,0.0,223.39,8.076923076923077,179.07692307692307,27.0,27.0,0.8,0.8,22.34,0.007262164124909223
4192,F,42,a24c620e16fd46b19f67ad6ca0a73dde,2015-07-30,71000.0,1946,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,79.05,3.0,110.4,5.0,5.0,1.0,0.5,19.76,0.0020554984583761563
4193,F,88,e130d81685ae45deb9fbf6d416084a1d,2017-07-24,89000.0,1221,6.0,6.0,3.0,16.0,6.0,4.0,4.0,4.0,4.0,2.0,6.0,4.0,4.0,4.0,4.0,2.0,0.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,398.55,12.666666666666666,168.0,50.0,50.0,0.5,1.0,24.91,0.013104013104013105
4194,F,22,88f1f621a99a4c0684862b018be3a6bd,2017-08-30,57000.0,1184,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,0.0,2.0,1.0,10.0,4.714285714285714,140.57142857142858,0.0,11.0,0.75,0.0,2.5,0.0033783783783783786
4195,M,63,2db574f9885b44fbbb99396ffd60511a,2017-09-12,71000.0,1171,5.0,6.0,6.0,12.0,5.0,2.0,3.0,5.0,2.0,3.0,6.0,3.0,4.0,5.0,2.0,3.0,1.0,6.0,3.0,4.0,5.0,2.0,3.0,1.0,243.98000000000002,11.470588235294118,186.35294117647058,27.0,27.0,1.0,0.833,20.33,0.010247651579846286
4196,F,67,61d78b3d76d742b5b50f5f8379c21cf3,2016-05-29,82000.0,1642,3.0,5.0,5.0,14.0,3.0,3.0,3.0,3.0,2.0,1.0,5.0,5.0,5.0,3.0,2.0,1.0,2.0,5.0,5.0,5.0,3.0,2.0,1.0,2.0,336.94,5.769230769230769,132.92307692307693,17.0,17.0,1.0,0.6,24.07,0.008526187576126675
4197,F,56,ab2026beec834c99bfe6677fa626d699,2017-12-08,60000.0,1084,4.0,4.0,4.0,16.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,0.0,4.0,4.0,4.0,4.0,1.0,3.0,0.0,295.78,9.25,192.0,17.0,17.0,1.0,1.0,18.49,0.014760147601476014
4198,M,71,e118a9e0eded4bfd9014cae50c7d5d4e,2017-10-10,62000.0,1143,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,3.0,1.0,0.0,4.0,4.0,4.0,3.0,3.0,1.0,0.0,60.01,9.181818181818182,146.1818181818182,23.0,33.0,1.0,0.75,20.0,0.0026246719160104987
4199,M,76,4346a6782c8a444ab83c212674613d28,2014-09-10,54000.0,2269,2.0,3.0,3.0,4.0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,59.370000000000005,9.375,171.0,10.0,10.0,1.0,0.667,14.84,0.0017628911414720142
4200,F,60,adad1a68bb674945ba10b71b3fd01592,2018-05-11,91000.0,930,1.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,1.0,47.19,6.666666666666667,104.0,10.0,30.0,0.6,0.2,23.6,0.002150537634408602
4201,F,52,ff102dbad4c748ba9f476d29c45f7ed7,2015-11-07,92000.0,1846,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,73.97,5.0,146.66666666666666,7.0,7.0,0.75,0.5,24.66,0.0016251354279523294
4202,O,58,d7a4c9a5d4394065af1af3f924877d5c,2015-03-11,78000.0,2087,2.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0,5.0,5.0,5.0,4.0,0.0,4.0,1.0,5.0,5.0,5.0,4.0,0.0,4.0,1.0,94.63000000000001,7.833333333333333,200.0,4.0,9.0,1.0,0.4,18.93,0.0023957834211787254
4203,F,43,43417e1318e84492888dc8a6aa6cc48d,2017-07-04,60000.0,1241,5.0,6.0,4.0,11.0,5.0,4.0,5.0,3.0,4.0,1.0,6.0,4.0,6.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,2.0,3.0,1.0,0.0,150.58999999999997,7.066666666666666,153.6,33.0,33.0,0.67,0.833,13.69,0.008863819500402902
4204,M,77,af8f99d284ae4639bac4af60f085caef,2018-03-02,79000.0,1000,1.0,4.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,4.0,2.0,3.0,0.0,1.0,4.0,4.0,4.0,2.0,3.0,0.0,1.0,31.14,7.777777777777778,125.33333333333333,10.0,30.0,1.0,0.25,15.57,0.002
4205,M,65,62b82a6507554dfca4ca1c9775f1fabe,2018-07-19,68000.0,861,1.0,5.0,4.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,22.69,8.1,136.8,3.0,28.0,0.8,0.2,3.78,0.006968641114982578
4206,M,56,cb2731206ba14af0923483f7a447087e,2017-12-11,68000.0,1081,1.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,3.0,3.0,2.0,2.0,0.0,4.0,3.0,3.0,3.0,2.0,2.0,0.0,27.75,11.11111111111111,189.33333333333334,10.0,22.0,1.0,0.25,27.75,0.0009250693802035153
4207,M,69,a417d79c79d646f9ae12dbbe3a4e921f,2015-09-07,75000.0,1907,3.0,4.0,3.0,11.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,212.88,7.5,153.6,17.0,17.0,0.75,0.75,19.35,0.0057682223387519665
4208,F,34,685b8642b2dd48b382e8829c8f8d38ad,2017-12-05,62000.0,1087,5.0,5.0,4.0,12.0,5.0,3.0,5.0,4.0,2.0,3.0,5.0,3.0,5.0,4.0,2.0,3.0,0.0,4.0,3.0,4.0,3.0,2.0,2.0,0.0,185.95000000000002,7.642857142857143,168.0,23.0,23.0,0.8,1.0,15.5,0.011039558417663294
4209,M,27,6f7930563f024a839e1836b8e56292ea,2018-07-02,70000.0,878,0.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,0.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,2.0,16.54,3.3333333333333335,96.0,0.0,10.0,1.0,0.0,3.31,0.0056947608200455585
4210,F,34,ee745c75ef0948a191bd47853f92f3c5,2017-03-09,52000.0,1358,3.0,3.0,2.0,14.0,3.0,0.0,2.0,3.0,1.0,2.0,3.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,211.53999999999996,10.625,186.0,12.0,12.0,0.67,1.0,15.11,0.010309278350515464
4211,F,80,1d2018a7775c4c73b084e9c701560092,2017-04-09,100000.0,1327,2.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,68.66,10.714285714285714,168.0,10.0,15.0,0.25,0.5,22.89,0.002260738507912585
4212,M,63,c0eda515b67c4aa99ca289db36cd0f3e,2018-05-21,74000.0,920,2.0,6.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,6.0,6.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,2.0,2.0,1.0,10.76,6.923076923076923,155.07692307692307,12.0,19.0,0.83,0.333,10.76,0.0010869565217391304
4213,F,42,ade281e47ea7413da6c43d28a74bd871,2017-01-08,33000.0,1418,2.0,5.0,4.0,15.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,5.0,5.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0,137.44,6.454545454545454,126.54545454545455,13.0,23.0,0.8,0.4,9.16,0.010578279266572637
4214,M,56,5aebac28abda47acb93da649367e95c8,2018-05-12,54000.0,929,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,1.0,0.0,5.0,5.0,5.0,5.0,4.0,1.0,0.0,14.760000000000002,8.0,144.0,0.0,32.0,1.0,0.0,2.95,0.005382131324004306
4215,M,62,c5487320b716473ebf7134a10a3c1a71,2018-03-05,31000.0,997,1.0,4.0,2.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,42.75,7.142857142857143,164.57142857142858,2.0,14.0,0.5,0.25,4.75,0.009027081243731194
4216,M,70,52c3de46fb154851b6b4b47e5e519cc4,2018-05-05,36000.0,936,0.0,5.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,20.86,7.375,141.0,0.0,23.0,0.6,0.0,2.98,0.007478632478632479
4217,M,58,974679ad6fc2430ca1239ec26f5aa33e,2015-11-04,100000.0,1849,2.0,4.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,170.13,6.875,177.0,7.0,17.0,0.5,0.5,28.36,0.003244997295835587
4218,M,29,25a132b5f6604288a53d48a5f2792735,2016-10-14,53000.0,1504,5.0,5.0,3.0,13.0,5.0,2.0,4.0,4.0,2.0,3.0,5.0,2.0,4.0,4.0,2.0,3.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0,168.75,11.538461538461538,168.0,29.0,29.0,0.6,1.0,12.98,0.008643617021276596
4219,F,88,b78a64a427eb43f08fd80c68b4d3b973,2016-03-19,51000.0,1713,2.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,104.74000000000001,7.0,168.0,6.0,6.0,1.0,1.0,13.09,0.004670169293636894
4220,F,72,e1a14ad61fd04930aaea2fff028ebcbb,2015-08-30,104000.0,1915,3.0,5.0,4.0,6.0,3.0,3.0,3.0,3.0,1.0,2.0,5.0,5.0,5.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,166.88,7.166666666666667,158.0,10.0,20.0,0.8,0.6,27.81,0.003133159268929504
4221,M,54,23c4b658871a4d47802b3b148444560a,2017-08-29,74000.0,1185,2.0,3.0,3.0,6.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,124.43,5.625,132.0,15.0,15.0,1.0,0.667,20.74,0.005063291139240506
4222,M,64,3a3359289baf4fea995a0e9bb2972198,2017-01-05,74000.0,1421,4.0,6.0,5.0,25.0,4.0,2.0,4.0,4.0,0.0,4.0,6.0,4.0,6.0,5.0,2.0,4.0,0.0,5.0,4.0,5.0,4.0,2.0,3.0,0.0,102.75999999999996,10.0,190.4,8.0,28.0,0.83,0.667,4.11,0.017593244194229415
4223,M,84,ce6c9feefba945cd9f954cbd3374c987,2015-10-22,64000.0,1862,2.0,3.0,3.0,11.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,1.0,2.0,0.0,1.0,3.0,3.0,3.0,1.0,2.0,0.0,1.0,186.45,7.5,126.0,20.0,20.0,1.0,0.667,16.95,0.005907626208378088
