gender,age,cust_id,became_member_on,income,days_as_member,Total offer completed,Total offer received,Total offer viewed,Total transaction,offer completed_via_email,offer completed_via_social,offer completed_via_mobile,offer completed_via_web,offer completed bogo count,offer completed discount count,offer received_via_email,offer received_via_social,offer received_via_mobile,offer received_via_web,offer received bogo count,offer received discount count,offer received informational count,offer viewed_via_email,offer viewed_via_social,offer viewed_via_mobile,offer viewed_via_web,offer viewed bogo count,offer viewed discount count,offer viewed informational count,Total transaction amount,avg_difficulty,avg_duration,total_reward_received,total_reward_defined,total_view_ratio,total_completion_ratio,avg_transaction_amt,transactions_per_membership_days,weeks_as_member,avg transaction count by membership time,customer_type,customer type
M,47,af3669c4575a45e994defa7bacd111ba,2018-02-17,47000,1013,1,5,1,7,1,1,1,1,0,1,5,1,3,5,0,4,1,1,1,1,1,0,1,0,12.36,11.42857143,209.1428571,2,14,0.2,0.2,1.77,0.006910167818,23.57142857,0.296969697,passive,passive
F,65,9fa6e119bc854952a5c8d2e7915f4727,2016-07-12,73000,1598,2,4,2,3,2,1,2,2,1,1,4,2,3,3,1,2,1,2,2,2,1,1,0,1,52.13,6.875,135,7,12,0.5,0.5,17.38,0.001877346683,107.1428571,0.028,passive,passive
M,82,6d2db3aad94648259e539920fc2cf2a6,2018-04-11,65000,960,3,6,6,3,3,3,3,3,2,1,6,6,6,6,5,1,0,6,6,6,6,5,1,0,53.08,5.4,129.6,13,28,1,0.5,17.69,0.003125,16,0.1875,active,passive
F,59,82bd3f2f916d4e5bbc4b1ac9aa88d5a9,2018-07-01,79000,879,2,3,3,4,2,2,2,1,2,0,3,2,3,2,2,0,1,3,2,3,2,2,0,1,84.04,7.5,132,20,20,1,0.667,21.01,0.004550625711,4.428571429,0.9032258065,active,active
M,19,fda2862641d74e19ba0a249a0e3a83f3,2018-01-25,52000,1036,4,6,5,7,4,4,4,3,3,1,6,5,6,5,4,1,1,5,5,5,4,4,1,0,94.68,7.666666667,152,27,32,0.83,0.667,13.53,0.006756756757,26.85714286,0.2606382979,active,passive
M,42,af9271c4812545a9918c9fba7b082db2,2016-03-20,63000,1712,4,5,5,17,4,4,4,2,3,1,5,5,5,2,3,1,1,5,5,5,2,3,1,1,233.84,8.571428571,159.4285714,32,32,1,0.8,13.76,0.009929906542,123.4285714,0.1377314815,active,passive
M,37,b62f7fa13e5c4e81ae08a259b700b65c,2017-09-22,69000,1161,0,4,4,8,0,0,0,0,0,0,4,2,4,4,1,1,2,4,2,4,4,1,1,2,40.69,4.25,120,0,13,1,0,5.09,0.006890611542,44.71428571,0.178913738,passive,passive
F,64,56110239c1b1409498e6f318d1c06bb3,2018-01-30,45000,1031,4,4,4,10,4,2,3,4,0,4,4,2,3,4,0,4,0,4,2,3,4,0,4,0,126.78,11.75,204,12,12,1,1,12.68,0.009699321048,26.14285714,0.3825136612,active,passive
M,38,3b78a727167b432d8e1935227b286def,2015-10-16,68000,1868,4,4,4,14,4,2,4,4,2,2,4,2,4,4,2,2,0,4,2,4,4,2,2,0,250.22,8.75,174,19,19,1,1,17.87,0.007494646681,145.7142857,0.09607843137,active,passive
F,75,126dc0f131804b21b2714172adf149e7,2018-03-09,76000,993,3,6,6,3,3,2,2,3,1,2,6,3,5,6,2,3,1,6,3,5,6,2,3,1,65.25,9.4,156.8,18,25,1,0.5,21.75,0.003021148036,20.71428571,0.1448275862,active,passive
M,56,a3231d1a8afa4e06acd0eaa84acf7c0d,2018-07-08,94000,872,1,5,3,1,1,1,1,0,1,0,5,3,5,4,1,3,1,3,2,3,3,0,3,0,35.13,8.222222222,176,10,17,0.6,0.2,35.13,0.001146788991,3.428571429,0.2916666667,passive,passive
M,59,b4f14ce6c0d048638741bbc1d3ae0f58,2017-09-06,70000,1177,1,5,5,5,1,1,1,1,1,0,5,2,5,5,3,0,2,5,2,5,5,3,0,2,91.4,3.181818182,120,5,15,1,0.2,18.28,0.00424808836,47,0.1063829787,active,passive
M,56,2e836907db404018824dcff77519a867,2016-10-13,89000,1505,5,5,4,9,5,4,4,5,2,3,5,4,4,5,2,3,0,4,4,4,4,2,2,0,209.44,10.35714286,188.5714286,24,24,0.8,1,23.27,0.005980066445,93.85714286,0.09589041096,active,passive
M,40,630397a8eb8e48bc8169767588897b22,2017-09-19,67000,1164,2,4,2,6,2,2,2,2,1,1,4,2,3,4,1,2,1,2,1,2,2,1,0,1,103.22,8,141,13,18,0.5,0.5,17.2,0.005154639175,45.14285714,0.1329113924,passive,passive
F,43,fa4d939bf99e4efbbe8d00f10c1e2ee7,2018-01-05,34000,1056,3,6,4,14,3,2,3,3,0,3,6,3,6,6,1,3,2,4,3,4,4,1,3,0,123.76,7.076923077,149.5384615,8,18,0.67,0.5,8.84,0.01325757576,29.71428571,0.4711538462,passive,passive
M,51,a318d28d03ec4aa4957dda94215911a2,2018-03-02,54000,1000,0,5,4,2,0,0,0,0,0,0,5,2,4,4,3,2,0,4,1,3,4,2,2,0,28.07,10,173.3333333,0,27,0.8,0,14.04,0.002,21.71428571,0.09210526316,passive,passive
M,43,af748b8bdd2e4aaf9c577428fd8d7e77,2018-02-28,91000,1002,0,4,4,2,0,0,0,0,0,0,4,2,4,4,3,0,1,4,2,4,4,3,0,1,43.3,3.75,126,0,15,1,0,21.65,0.001996007984,22,0.09090909091,passive,passive
F,84,469227d170274de18bf33e6bebe8bcd0,2016-09-07,66000,1541,4,5,5,6,4,2,3,3,3,1,5,2,4,4,4,1,0,5,2,4,4,4,1,0,90.5,9.285714286,173.1428571,25,30,1,0.8,15.08,0.0038935756,99,0.06060606061,active,passive
M,57,2989c58e050a4d06998e2b587f66473b,2016-08-02,70000,1577,2,4,2,8,2,1,2,2,1,1,4,1,4,4,1,1,2,2,1,2,2,0,1,1,168.97,5,168,7,7,0.5,0.5,21.12,0.005072923272,104.1428571,0.0768175583,passive,passive
F,92,6779114475a84348a20ae39e694522b3,2016-02-29,39000,1732,5,5,5,19,5,4,4,5,2,3,5,4,4,5,2,3,0,5,4,4,5,2,3,0,176.68,10,192,19,19,1,1,9.3,0.01096997691,126.2857143,0.1504524887,active,passive
F,68,ad7470c89b2540b5b20c34bfecff453f,2017-10-12,82000,1141,3,5,3,6,3,3,3,2,2,1,5,5,5,3,2,2,1,3,3,3,3,1,2,0,159.15,8.272727273,159.2727273,23,25,0.6,0.6,26.52,0.005258545136,41.85714286,0.1433447099,passive,passive
F,39,055640cd12d04eb4b8a51ec67d451fc7,2016-11-24,38000,1463,4,5,4,23,4,2,3,4,0,4,5,2,4,5,0,4,1,4,2,3,4,0,4,0,213.23,10.84615385,195.6923077,12,12,0.8,0.8,9.27,0.01572112098,87.85714286,0.2617886179,active,passive
O,76,1a4ccc5cba79437caf2a42d7ae64e16d,2018-02-07,60000,1023,2,5,5,5,2,2,2,2,1,1,5,3,5,4,1,1,3,5,3,5,4,1,1,3,68.58,5,134,12,12,1,0.4,13.72,0.004887585533,25,0.2,active,passive
M,51,086dc8a56e3d467d81bf7e47efca0404,2017-07-14,81000,1231,4,5,3,7,4,3,4,2,4,0,5,4,5,2,4,0,1,3,3,3,1,3,0,0,169.01,8.333333333,148,35,35,0.6,0.8,24.14,0.005686433794,54.71428571,0.1279373368,passive,passive
M,26,10983bae435748a3a300222adc9ee9ed,2017-12-06,39000,1086,0,6,4,6,0,0,0,0,0,0,6,4,6,6,2,3,1,4,4,4,4,2,2,0,26.77,8.4,156,0,27,0.67,0,4.46,0.005524861878,34,0.1764705882,passive,passive
M,90,0ff208c9b551457db756758715073af5,2017-07-23,36000,1222,4,6,3,11,4,2,4,4,2,2,6,4,6,4,2,2,2,3,3,3,2,0,2,1,82.31,5.461538462,162.4615385,15,15,0.5,0.667,7.48,0.009001636661,53.42857143,0.2058823529,passive,passive
M,42,d7e3e5660e684b56bd37b4a25fc4d89c,2018-02-27,41000,1003,0,5,4,10,0,0,0,0,0,0,5,4,4,4,3,1,1,4,4,4,3,3,0,1,25.89,8.888888889,122.6666667,0,35,0.8,0,2.59,0.009970089731,22.14285714,0.4516129032,passive,passive
M,39,8c156fed0fca4e888ef352496d715494,2017-05-30,53000,1276,3,3,3,11,3,1,2,3,1,2,3,1,2,3,1,2,0,3,1,2,3,1,2,0,118.03,11.66666667,216,12,12,1,1,10.73,0.008620689655,61.14285714,0.1799065421,active,passive
M,77,62588251267643b79dddb88cc9d4bd1d,2016-08-27,80000,1552,2,4,4,9,2,1,2,2,0,2,4,1,4,4,0,2,2,4,1,4,4,0,2,2,191.67,5.1,139.2,5,5,1,0.5,21.3,0.005798969072,100.5714286,0.08948863636,active,passive
M,67,774d6223fea8418a92c5742a4f55b7a9,2016-02-26,65000,1735,4,4,2,10,4,1,2,4,2,2,4,1,2,4,2,2,0,2,1,1,2,1,1,0,189.98,12.5,189.6,20,20,0.5,1,19,0.005763688761,126.7142857,0.07891770011,passive,passive
M,60,2372a5dd677842478b5318e4ea525969,2017-09-09,41000,1174,2,5,4,16,2,1,2,2,2,0,5,2,5,4,2,0,3,4,2,4,3,1,0,3,133.06,2.272727273,111.2727273,10,10,0.8,0.4,8.32,0.0136286201,46.57142857,0.3435582822,active,passive
F,79,dd14f8f926954014a9e6dd26a2e43f3f,2015-11-20,81000,1833,2,3,3,6,2,2,2,2,0,2,3,3,3,2,0,2,1,3,3,3,2,0,2,1,112.13,7.5,198,4,4,1,0.667,18.69,0.003273322422,140.7142857,0.04263959391,active,passive
F,68,4ea6530ba3a54fb286b431f959a9527b,2018-07-01,41000,879,2,3,3,9,2,0,1,2,1,1,3,1,2,2,1,1,1,3,1,2,2,1,1,1,86.43,9.375,171,10,10,1,0.667,9.6,0.01023890785,4.428571429,2.032258065,active,active
M,59,497df214da72420182e7f95e245ec479,2015-12-03,93000,1820,2,3,3,11,2,2,2,2,1,1,3,2,3,3,1,1,1,3,2,3,3,1,1,1,237.33,7.5,159,12,12,1,0.667,21.58,0.006043956044,138.8571429,0.079218107,active,passive
M,65,b7ad3ed447cd4e8086d55ec280da9bfd,2018-03-09,94000,993,1,5,4,2,1,1,1,0,1,0,5,4,4,4,2,3,0,4,4,4,3,2,2,0,65.17,10.4,180,10,30,0.8,0.2,32.58,0.002014098691,20.71428571,0.09655172414,active,passive
M,74,6d11a027be6c4fac98d27eec516ad2f6,2016-03-10,106000,1722,4,5,4,14,4,3,4,4,2,2,5,3,5,5,2,2,1,4,3,4,4,2,2,0,366.44,8.076923077,184.6153846,19,19,0.8,0.8,26.17,0.008130081301,124.8571429,0.1121281465,active,passive
F,20,01e97a4633bf4963838a4aa9ed1dce3e,2017-09-03,43000,1180,0,5,4,8,0,0,0,0,0,0,5,4,5,4,3,1,1,4,4,4,3,3,1,0,17.96,7.111111111,138.6666667,0,28,0.8,0,2.24,0.006779661017,47.42857143,0.1686746988,passive,passive
F,50,d53a0901e66d4a5c96a1f3cda56536e1,2015-10-09,119000,1875,1,2,2,6,1,1,1,1,1,0,2,2,2,1,1,0,1,2,2,2,1,1,0,1,160.37,6,100.8,10,10,1,0.5,26.73,0.0032,146.7142857,0.04089581305,active,passive
M,53,3f9da79caafe40478a8a661e53b7299b,2017-11-23,50000,1099,3,4,3,3,3,3,3,2,3,0,4,3,4,3,3,1,0,3,2,3,3,2,1,0,41.69,8.5,139.2,25,27,0.75,0.75,13.9,0.002729754322,35.85714286,0.08366533865,passive,passive
F,22,0a3a8cc5e3d64253b7300797cb07c818,2017-08-12,70000,1202,5,5,5,10,5,4,5,3,4,1,5,4,5,3,4,1,0,5,4,5,3,4,1,0,202.5,9,172.8,37,37,1,1,20.25,0.008319467554,50.57142857,0.197740113,active,passive
M,68,6aaa34e41698451e910b971123fd0d69,2016-09-01,30000,1547,0,5,4,11,0,0,0,0,0,0,5,3,5,4,3,0,2,4,3,4,3,2,0,2,18.45,3.888888889,109.3333333,0,20,0.8,0,1.68,0.007110536522,99.85714286,0.1101573677,passive,passive
M,81,4a0b380c3fc14b30a8cc577eeeaa0c3c,2017-12-24,55000,1068,4,4,4,10,4,4,4,2,3,1,4,4,4,2,3,1,0,4,4,4,2,3,1,0,152.05,8.75,174,27,27,1,1,15.21,0.00936329588,31.42857143,0.3181818182,active,passive
M,27,1ec7a24b1f7e40fa87897299d839aa3e,2016-04-14,47000,1687,2,3,3,17,2,1,2,2,0,2,3,2,3,2,1,2,0,3,2,3,2,1,2,0,70.45,10,195,4,14,1,0.667,4.14,0.01007705987,119.8571429,0.1418355185,active,passive
M,60,5b97dfd6f8a74a9892e8f9113ee1672d,2018-04-16,44000,955,3,6,5,7,3,2,3,2,2,1,6,5,6,2,2,1,3,5,4,5,2,1,1,3,59.09,4,126.8571429,18,18,0.83,0.5,8.44,0.007329842932,15.28571429,0.4579439252,active,passive
F,63,0b5849cbbac74a1baa249064988f89f1,2015-12-07,119000,1816,2,3,2,5,2,2,2,2,2,0,3,2,3,3,2,1,0,2,2,2,2,2,0,0,112.99,10,126.8571429,20,22,0.67,0.667,22.6,0.002753303965,138.2857143,0.03615702479,passive,passive
M,26,f42fdc75e16b45c58ccaae110c10cfe3,2017-12-19,59000,1073,0,5,5,7,0,0,0,0,0,0,5,4,4,3,3,1,1,5,4,4,3,3,1,1,29.65,10,144,0,35,1,0,4.24,0.006523765144,32.14285714,0.2177777778,passive,passive
M,25,c5ae9814adec41ed8e5999362256ba12,2018-03-17,55000,985,4,5,5,8,4,3,3,4,1,3,5,4,4,5,1,4,0,5,4,4,5,1,4,0,93.7,11.71428571,204,19,22,1,0.8,11.71,0.008121827411,19.57142857,0.4087591241,active,passive
M,53,aaf4e1f165fc4fae9b4583bc0cecb4f1,2018-03-21,37000,981,2,5,4,4,2,2,2,1,2,0,5,4,5,3,4,1,0,4,4,4,2,4,0,0,20.83,10,146.1818182,20,42,0.8,0.4,5.21,0.004077471967,19,0.2105263158,active,passive
F,71,36bec22ad9ac4632b79ad50bf8e42f1d,2016-12-02,41000,1455,2,4,3,8,2,1,2,2,0,2,4,3,4,3,1,2,1,3,3,3,2,1,1,1,104.76,7.777777778,160,4,14,0.75,0.5,13.1,0.005498281787,86.71428571,0.09225700165,passive,passive
F,91,50e9743f9ba744c8b12ee3b68dffa27d,2016-12-13,102000,1444,3,4,3,7,3,2,3,3,2,1,4,3,4,4,3,1,0,3,3,3,3,2,1,0,209.73,9,165.6,17,27,0.75,0.75,29.96,0.004847645429,85.14285714,0.0822147651,passive,passive
F,75,fcf3e97ec8b0459ea8449fc07e38620e,2017-01-29,54000,1397,3,5,5,9,3,1,3,3,2,1,5,2,5,4,2,1,2,5,2,5,4,2,1,2,109.8,4.615384615,131.0769231,12,12,1,0.6,12.2,0.006442376521,78.42857143,0.1147540984,active,passive
M,32,4321403798a84772b2c721ff18860a5b,2018-03-05,54000,997,0,4,3,3,0,0,0,0,0,0,4,3,4,4,4,0,0,3,3,3,3,3,0,0,13.54,9.285714286,126.8571429,0,35,0.75,0,4.51,0.003009027081,21.28571429,0.1409395973,passive,passive
F,27,e433442492614997ad025b268178226c,2014-12-07,39000,2181,1,6,5,19,1,1,1,1,0,1,6,5,6,4,4,1,1,5,5,5,3,3,1,1,60.57,7.083333333,154,2,32,0.83,0.167,3.19,0.008711600183,190.4285714,0.09977494374,passive,passive
M,55,5f175e9475c74967a4d84b5126c5342d,2018-01-02,57000,1059,2,4,4,3,2,1,2,2,0,2,4,2,4,3,1,2,1,4,2,4,3,1,2,1,49.47,8,175.2,4,14,1,0.5,16.49,0.00283286119,30.14285714,0.09952606635,active,passive
M,45,f88b5bd46f854ea19c8ffaf9b2543511,2018-05-17,56000,924,0,5,4,5,0,0,0,0,0,0,5,4,4,2,1,1,3,4,4,4,1,1,0,3,10.99,3.333333333,101.3333333,0,10,0.8,0,2.2,0.005411255411,10.85714286,0.4605263158,passive,passive
M,94,f6cfc3ea4e3b47ffbc5453eba971b771,2016-02-19,55000,1742,2,4,3,6,2,1,1,2,0,2,4,3,3,2,1,2,1,3,3,3,1,1,1,1,94.69,9,162.6666667,8,18,0.75,0.5,15.78,0.003444316877,127.7142857,0.04697986577,passive,passive
M,66,3e6571afb8b242a09de76e353a2b3fc7,2016-06-27,77000,1613,4,5,5,10,4,3,4,3,3,1,5,3,5,4,3,1,1,5,3,5,4,3,1,1,175.1,7.5,137.1428571,27,27,1,0.8,17.51,0.006199628022,109.2857143,0.09150326797,active,passive
M,67,c39e84cce5e2400eb8b7b8b8803fd874,2017-10-27,42000,1126,0,6,3,6,0,0,0,0,0,0,6,3,5,6,2,3,1,3,3,3,3,1,2,0,10.22,7.666666667,173.3333333,0,20,0.5,0,1.7,0.005328596803,39.71428571,0.1510791367,passive,passive
F,57,b186b8e7d7434f4dacf6dc4ddb25a09d,2017-12-14,85000,1078,4,5,2,6,4,3,3,2,3,1,5,3,4,3,3,1,1,2,2,2,1,2,0,0,141.71,9.545454545,161.4545455,30,30,0.4,0.8,23.62,0.005565862709,32.85714286,0.1826086957,passive,passive
M,57,b4f89d9d8c144ee1b8dafb4b707c0fce,2015-09-04,61000,1910,3,3,2,12,3,2,3,2,1,2,3,2,3,2,1,2,0,2,2,2,1,1,1,0,171.61,10,195,14,14,0.67,1,14.3,0.006282722513,151.7142857,0.0790960452,passive,passive
M,18,99f8f1204cd343ef96f813b7cdfe53e9,2016-04-22,40000,1679,3,5,4,16,3,2,2,3,0,3,5,4,4,3,0,3,2,4,3,3,2,0,2,2,152.7,8.416666667,166,10,10,0.8,0.6,9.54,0.009529481834,118.7142857,0.1347773767,active,passive
M,51,8c92804710134e7fa82370529f5f8a9e,2016-02-01,104000,1760,3,4,1,4,3,1,2,3,1,2,4,2,3,3,1,2,1,1,0,1,1,1,0,0,87.21,9.375,192,12,12,0.25,0.75,21.8,0.002272727273,130.2857143,0.03070175439,passive,passive
M,63,e90d09506c874b06a6668841664ccdc1,2017-12-09,49000,1083,1,6,5,5,1,1,1,1,0,1,6,4,6,5,2,2,2,5,4,5,4,2,2,1,101.01,5.916666667,130,3,20,0.83,0.167,20.2,0.004616805171,33.57142857,0.1489361702,passive,passive
F,73,17dddcba2e9443bb97cafb78f51ebdbe,2016-09-25,65000,1523,5,6,6,11,5,4,5,5,2,3,6,4,6,6,2,4,0,6,4,6,6,2,4,0,167.03,8.588235294,163.7647059,22,24,1,0.833,15.18,0.007222586999,96.42857143,0.1140740741,active,passive
M,61,552c4891951446c8a6098caa6b6d15d2,2018-01-18,52000,1043,1,5,2,7,1,0,1,1,1,0,5,2,5,4,2,1,2,2,2,2,1,0,1,1,23.87,3.625,135,5,13,0.4,0.2,3.41,0.006711409396,27.85714286,0.2512820513,passive,passive
F,75,1e949fc1f3fe4c49af2bbe36e1b8cdf4,2016-03-12,112000,1720,1,6,2,4,1,1,1,0,1,0,6,4,6,3,3,0,3,2,1,2,1,1,0,1,111.74,5,128,10,25,0.33,0.167,27.94,0.002325581395,124.5714286,0.03211009174,passive,passive
F,65,c2bc882929e344979d9e8a14945ec8e0,2017-10-24,113000,1129,4,4,4,12,4,4,4,2,2,2,4,4,4,2,2,2,0,4,4,4,2,2,2,0,306.17,10,204,24,24,1,1,25.51,0.01062887511,40.14285714,0.2989323843,active,passive
M,36,8be1c2fa06c04e15b380249ff9be040b,2018-04-24,31000,947,3,5,3,7,3,3,3,2,2,1,5,3,5,4,3,1,1,3,3,3,2,2,1,0,23.74,7.272727273,168,17,22,0.6,0.6,3.39,0.007391763464,14.14285714,0.4949494949,passive,passive
F,67,e3cc8e8eb799450e861d546321f90f54,2015-08-30,61000,1915,4,4,4,16,4,3,3,4,3,1,4,3,3,4,3,1,0,4,3,3,4,3,1,0,256.61,10,150,25,25,1,1,16.04,0.008355091384,152.4285714,0.1049671978,active,passive
M,38,45a3e440f28e49c7a52d6b73df3c2143,2017-10-19,49000,1134,1,5,4,8,1,1,1,1,1,0,5,5,5,4,4,1,0,4,4,4,4,3,1,0,20.47,6.9,134.4,5,33,0.8,0.2,2.56,0.007054673721,40.85714286,0.1958041958,active,passive
F,45,e745932c27f34867bf1bbfd870368ab3,2017-03-09,72000,1358,4,5,5,12,4,4,4,2,3,1,5,5,5,2,3,1,1,5,5,5,2,3,1,1,232.26,7.928571429,144,33,33,1,0.8,19.36,0.0088365243,72.85714286,0.1647058824,active,passive
M,62,9a76495a02e9445db40943cc3f1d62d2,2016-08-07,51000,1572,3,4,3,6,3,2,3,3,2,1,4,3,4,4,2,2,0,3,2,3,3,2,1,0,47.99,5.8,153.6,13,16,0.75,0.75,8,0.003816793893,103.4285714,0.05801104972,passive,passive
F,43,12b2135de4d041a4a1d6a090d8977dc1,2016-12-15,70000,1442,4,6,4,21,4,3,4,3,2,2,6,4,6,4,3,2,1,4,4,4,2,2,1,1,809.46,8.214285714,159.4285714,24,29,0.67,0.667,38.55,0.0145631068,84.85714286,0.2474747475,passive,passive
M,43,e6ca6d6cba034c75a954934ca390a84d,2017-09-18,31000,1165,0,4,2,3,0,0,0,0,0,0,4,2,3,4,1,2,1,2,1,2,2,0,1,1,2.43,7.333333333,148,0,18,0.5,0,0.81,0.002575107296,45.28571429,0.06624605678,passive,passive
M,21,765c03129b634508b2362ec01262f815,2018-05-07,43000,934,0,4,1,5,0,0,0,0,0,0,4,1,2,4,0,3,1,1,1,1,1,0,1,0,16.8,10.8,182.4,0,13,0.25,0,3.36,0.005353319058,12.28571429,0.4069767442,passive,passive
M,29,91aef7566d8c4965aa29687a05a9ab25,2016-07-19,36000,1591,5,5,3,25,5,4,5,5,2,3,5,4,5,5,2,3,0,3,3,3,3,1,2,0,231.66,8.846153846,182.7692308,21,21,0.6,1,9.27,0.01571338781,106.1428571,0.2355316285,passive,passive
F,74,5635bb18ab9c4a048311f91f803138f1,2016-10-04,95000,1514,2,4,4,8,2,1,2,2,1,1,4,1,4,4,1,1,2,4,1,4,4,1,1,2,198.07,4.5,124.8,7,7,1,0.5,24.76,0.005284015852,95.14285714,0.08408408408,active,passive
F,52,94bbb6006dbb49279728a9c0df4ac989,2016-10-20,73000,1498,5,5,5,11,5,1,4,5,2,3,5,1,4,5,2,3,0,5,1,4,5,2,3,0,200.74,9.4,182.4,20,20,1,1,18.25,0.007343124166,92.85714286,0.1184615385,active,passive
M,41,147118864d59460989e5db374690d1bf,2017-11-24,65000,1098,3,4,4,8,3,1,2,3,2,1,4,2,3,3,2,1,1,4,2,3,3,2,1,1,125.5,9.545454545,157.0909091,20,20,1,0.75,15.69,0.007285974499,35.71428571,0.224,active,passive
F,77,8a504d8980764110bd0a6ce89213e097,2015-12-24,87000,1799,3,4,4,8,3,0,1,3,0,3,4,1,2,3,0,3,1,4,1,2,3,0,3,1,194.89,13.63636364,189.8181818,12,12,1,0.75,24.36,0.004446914953,135.8571429,0.05888538381,active,passive
F,22,0a53d7787b594ba79e69cf19de80a8c9,2017-08-12,67000,1202,0,3,3,8,0,0,0,0,0,0,3,3,3,2,1,2,0,3,3,3,2,1,2,0,30.27,10,216,0,14,1,0,3.78,0.006655574043,50.57142857,0.1581920904,passive,passive
F,61,0dce458d31ae427cb2fe83841dc236b4,2016-08-28,50000,1551,5,6,6,16,5,4,5,3,4,1,6,5,6,3,4,1,1,6,5,6,3,4,1,1,188.35,7.411764706,148.2352941,38,38,1,0.833,11.77,0.01031592521,100.4285714,0.1593172119,active,passive
F,48,df09657a4857402a864d8ab73432c438,2017-08-13,54000,1201,3,3,3,15,3,1,3,3,1,2,3,1,3,3,1,2,0,3,1,3,3,1,2,0,186.71,10,152,14,14,1,1,12.45,0.01248959201,50.42857143,0.2974504249,active,passive
M,55,3cd6e00ce10940d58c61d60647820d5d,2016-01-04,53000,1788,4,6,6,9,4,2,3,4,2,2,6,4,5,4,2,2,2,6,4,5,4,2,2,2,140.63,6.9375,148.5,18,18,1,0.667,15.63,0.005033557047,134.2857143,0.0670212766,active,passive
M,50,0375600415e24e0a9fd83ec191d5955d,2014-01-07,65000,2515,1,2,2,13,1,1,1,1,0,1,2,1,2,2,0,1,1,2,1,2,2,0,1,1,41.37,4.2,139.2,3,3,1,0.5,3.18,0.005168986083,238.1428571,0.05458908218,active,passive
F,45,0ab26a89e3494acd922ea9fd0ff938e5,2017-02-17,52000,1378,2,4,4,12,2,1,1,1,1,1,4,1,3,3,1,2,1,4,1,3,3,1,2,1,128.96,11,175.2,15,17,1,0.5,10.75,0.008708272859,75.71428571,0.158490566,active,passive
M,62,7d4d5d017ac54e688e9aa20d6a01af81,2017-07-30,79000,1215,5,6,6,12,5,5,5,4,3,2,6,5,6,5,3,2,1,6,5,6,5,3,2,1,249.43,7.941176471,168,29,29,1,0.833,20.79,0.00987654321,52.42857143,0.2288828338,active,passive
F,52,a5c15f41f7ed4c3289ebb87b23bb1fff,2017-08-10,67000,1204,4,5,5,9,4,2,4,4,3,1,5,2,5,5,3,1,1,5,2,5,5,3,1,1,189.51,6.428571429,162.8571429,22,22,1,0.8,21.06,0.007475083056,50.85714286,0.1769662921,active,passive
F,87,f1f1c497a30b4ef9bd79e24e3add6953,2017-11-11,73000,1111,3,4,2,7,3,1,3,3,1,2,4,2,4,3,1,2,1,2,2,2,1,1,0,1,140.94,7.777777778,130.6666667,14,14,0.5,0.75,20.13,0.006300630063,37.57142857,0.1863117871,passive,passive
F,51,20f36dd2ffeb423b893bcfa92ce1e30d,2017-09-11,75000,1172,2,3,0,3,2,1,2,1,2,0,3,2,3,1,3,0,0,0,0,0,0,0,0,0,73.51,8,168,15,25,0,0.667,24.5,0.002559726962,46.28571429,0.06481481481,passive,passive
M,65,b41d5b99472045829139acbda3e84e1e,2017-03-06,74000,1361,2,3,3,7,2,1,2,2,1,1,3,1,3,3,1,1,1,3,1,3,3,1,1,1,104.79,5.625,177,7,7,1,0.667,14.97,0.005143277002,73.28571429,0.0955165692,active,passive
M,81,d72fff1ae7d246cf987e3673ad8850d6,2018-05-28,77000,913,2,5,5,6,2,1,2,2,1,1,5,3,4,3,1,2,2,5,3,4,3,1,2,2,116.72,8.333333333,136,12,17,1,0.4,19.45,0.006571741512,9.285714286,0.6461538462,active,active
F,74,5ddf4a03ebfc442b8e3963d7ad7025e0,2016-08-19,89000,1560,2,3,3,12,2,1,2,2,1,1,3,2,3,2,1,1,1,3,2,3,2,1,1,1,317.93,5.625,126,7,7,1,0.667,26.49,0.007692307692,101.7142857,0.1179775281,active,passive
M,71,4169cc2f33c24b429bef7b33124b0d16,2016-08-24,107000,1555,2,5,2,6,2,1,1,2,0,2,5,1,4,5,0,3,2,2,1,2,2,0,1,1,213.03,8.888888889,184,7,9,0.4,0.4,35.51,0.0038585209,101,0.05940594059,passive,passive
M,28,66897badf9c641d1925af5fdbefe1308,2017-10-24,72000,1129,0,4,2,1,0,0,0,0,0,0,4,2,3,3,0,2,2,2,2,2,1,0,1,1,1.01,6.666666667,160,0,7,0.5,0,1.01,0.0008857395926,40.14285714,0.02491103203,passive,passive
M,46,9f6f5b4e352346918f978ef8114be423,2017-09-18,44000,1165,0,5,2,5,0,0,0,0,0,0,5,1,4,5,1,3,1,2,0,2,2,1,1,0,5.73,8.571428571,178.2857143,0,14,0.4,0,1.15,0.004291845494,45.28571429,0.1104100946,passive,passive
F,42,a5650d514c3d470484f99c62bc4605e0,2017-11-01,75000,1121,3,5,5,3,3,3,3,2,2,1,5,5,5,4,4,1,0,5,5,5,4,4,1,0,69.51,7.384615385,142.1538462,18,33,1,0.6,23.17,0.00267618198,39,0.07692307692,active,passive
M,70,69cc8fb8c5d34d18aa8237014204ac17,2018-03-17,32000,985,1,5,4,8,1,1,1,1,0,1,5,4,4,5,1,4,0,4,4,4,4,1,3,0,19.46,7.9,165.6,3,19,0.8,0.2,2.43,0.008121827411,19.57142857,0.4087591241,active,passive
